name,title,quote,date,context
Vasco Núñez de Balboa,"Spanish explorer, governor and conquistador",That is false. I always have served my king loyally and sought to add to his domains.,January 1519,"on hearing a herald call him a ""usurper of the rights of the Crown"" while on the way to his execution by decapitation"
"(""Ho offeso Dio e l'umanità perché il mio lavoro non ha raggiunto la qualità che dovrebbe avere."") — Leonardo da Vinci",Italian artist and scientist,I have offended God and mankind because my work did not reach the quality it should have.,2 May 1519,to King Francis I of France
Raphael,Italian artist,Happy.,6 April 1520,
Moctezuma II,Huey Tlatoani or Emperor of the Aztec Empire,"I confide to your care my beloved children, the most precious jewels I can leave you. The great monarch beyond the ocean will interest himself to see that they come into their inheritance, if you present before him their just claims. I know your master will do this, if for no other reason, then for the kindness I have shown the Spaniards, though it has occasioned my ruin. For all my misfortunes, Malinche, I bear you no ill will.",29 June 1520,"to Hernán Cortés (calling him by the name of his interpreter, La Malinche)"
Pope Leo X (1 December 1521),,I have been murdered; no remedy can prevent my speedy death.,1 December 1521,rumored to have died by poison
Pietro Perugino,Italian artist,I am curious to see what happens in the next world to one who dies unshriven.,1523,declining the last rites
Franz von Sickingen,German knight and Protestant leader,I have already confessed my sins to God.,7 May 1523,when his chaplain asked if he wanted to confess prior to his death defending his castle
Pierre Terrail,"seigneur de Bayard, French knight",At least I may die facing the enemy.,30 April 1524,mortally wounded at the Battle of the Sesia (1524)
Niccolò Machiavelli (21 June 1527),,"I desire to go to hell, and not to heaven. In the former place I shall enjoy the company of popes, kings, and princes, while in the latter are only beggars, monks, hermits, and apostles.",21 June 1527,"Italian Renaissance diplomat, philosopher and writer"
Patrick Hamilton,Scottish churchman,"How long, Lord, shall darkness cover this land? How long wilt thou suffer this tyranny of men? Lord Jesus, receive my spirit.",29 February 1528,while being burned at the stake
Thomas Wolsey,"English archbishop, statesman and cardinal","And, Master Kyngston, had I but served God as diligently as I have served the king, he would not have given me over in my gray hairs. But this is my just reward for my pains and study, not regarding my service to God, but only my duty to my Prince.",29 November 1530,"; to the Lieutenant of the Tower of London, after falling ill on the way to London under arrest for treason"
Babur,founder of the Mughal Empire and first Emperor of the Mughal dynasty,I give your brothers to your keeping. Be faithful to them and all the people.,26 December 1530,
Thomas Bilney,English Christian martyr,"I pray you, good people, be not the worse to these men on my account, as though they were the authors of my death.",19 August 1531,"While he awaited burning for heresy, the friars and people present argued over who was responsible for Bilney's death; the friars threatened to withhold alms from the people if they were blamed"
Huldrych Zwingli,priest and leader of the Reformation in Switzerland,"Can this be considered a calamity? Well! they can, indeed, kill the body, but they are not able to kill the soul.",11 October 1531,mortally wounded at the Battle of Kappel
James Bainham,English lawyer and Protestant reformer,"O ye papists: behold, ye look for miracles, and here now ye may see a miracle, for in this fire I feel no more pain than if I were in a bed of down, but it is to me as sweet as a bed of roses.",30 April 1532,while burning at the stake for heresy
William Warham,Archbishop of Canterbury,That is enough to last till I get to Heaven.,22 August 1532,when a servant told him he had thirty pounds left
Ludovica Albertoni,"Italian noblewoman, professed member of the Third Order of Saint Francis","Father, into Thy hands I commend my spirit.",31 January 1533,quoting Jesus
Ludovico Ariosto,Italian poet,This is not my home.,6 July 1533,
Atahualpa,last Sapa Inca of the Inca Empire,"What have I done, or my children, that I should meet such a fate? And from your hands, too, you who have met with friendship and kindness from my people who have received nothing but benefits from my hands.",26 July 1533,prior to execution by strangling
"(""Abi perdita bestia","que me perdidisti."") — Heinrich Cornelius Agrippa, German polymath and occultist","Begone thou wretched beast, which hast utterly undone me.",18 February 1535,to his black dog (allegedly his familiar)
Thomas More,Lord High Chancellor of Britain,"I die the King's good servant, and God's first.",6 July 1535,prior to beheading for treason
"(""Oculi mei te solum desiderant. Vale."") — Catherine of Aragon",Queen of England,Mine eyes desire thee only. Farewell.,7 January 1536,"closing her last letter to her former husband, Henry VIII of England"
Mark Smeaton,musician in the household of Queen Anne Boleyn,"Masters, I pray you pray for me, for I have deserved this death.",17 May 1536,prior to beheading for alleged treason and adultery
Anne Boleyn,Queen of England,"Oh God, have pity on my soul. Oh God, have pity on my soul.",19 May 1536,prior to her execution by beheading
"(""Domine! Domine! fac finem! fac finem!"") — Erasmus",Dutch Catholic priest and humanist scholar,Lord! Lord! make an end! make an end!,12 July 1536,
William Tyndale,English scholar and Bible translator,"Lord, open the King of England's eyes.",c. 6 October 1536,before being strangled and burned at the stake for heresy
John Lambert,English Protestant martyr,None but Christ! None but Christ!,22 November 1538,while being burned at the stake
"(""Exariare aliquis nostris ex ossibus ultor."") — Filippo Strozzi the Younger",Florentine banker,May an avenger arise from my bones.,18 December 1538,He carved this line from Virgil's Aeneid on a mantelpiece with his sword as his suicide note
Jerome Russell,Franciscan friar,"Death cannot destroy us, for it is destroyed already by Him for Whose sake we suffer.",1539,burned for heresy in Scotland
Thomas Forret,"vicar of Dollar, Clackmannanshire, burned for heresy","God be merciful to me, a sinner; Lord Jesus receive my spirit! Miserere mei Deus secundum magnam misericordiam tuam.",28 February/1 March 1539,quoting Psalm 51
Francisco de San Roman,Spanish merchant and Protestant martyr,Did you envy my happiness?,1540,"While burning at the stake, he moved his head in a way which caused the friars to believe he had recanted. Upon his removal from the flames, he asked them this question and was then returned to the fire"
Thomas Cromwell,1st Earl of Essex,I die in the traditional faith.,28 July 1540,prior to beheading for treason and heresy
Robert Barnes,English reformer and Protestant martyr,"I trust in no good works that ever I did, but only in the death of Christ. I do not doubt but through Him to inherit the kingdom of Heaven. But imagine not that I speak against good works, for they are to be done, and verily they that do them not shall never enter into the kingdom of God.",30 July 1540,while being burned at the stake for heresy
Margaret Pole,Countess of Salisbury,Blessed are they who suffer persecution for righteousness' sake.,27 May 1541,quoting Matthew 5:10 while an incompetent executioner attempted to behead her
Francisco Pizarro,Spanish conquistador,Jesu!,26 June 1541,after being stabbed by assassins
Hernando de Soto,Spanish explorer and conquistador,Luis de Moscoso.,21 May 1542,naming his successor
"(""It came wi a lass","it'll gang wi a lass."") — James V of Scotland","It [the Crown of Scotland] came with a lass, and it will go with a lass.",15 December 1542,"on being informed of the birth of his daughter and successor, Mary, Queen of Scots"
Nicolaus Copernicus,mathematician and astronomer,"Now, O Lord, set thy servant free.",24 May 1543,paraphrasing Luke 2:29
"(""Wir sind Bettler","Hoc est Verum."") — Martin Luther, German theologian who started the Protestant Reformation","We are beggars, this is true.",18 February 1546,
George Wishart,Scottish Protestant reformer and martyr,"Lo! here is a token that I forgive thee; my heart, do thine office.",1 March 1546,kissing one of his executioners on the cheek after the man asked for his forgiveness
David Beaton,"Archbishop of St Andrews, final Scottish Cardinal prior to the Scottish Reformation",I am a priest; I am a priest! Fie! Fie! All is gone.,29 May 1546,during his assassination
Anne Askew,English writer and poet,I came not hither to deny my Lord and Master.,16 July 1546,when offered letter of pardon before being burned at the stake for heresy
Henry VIII,King of England,"All is lost! Monks, monks, monks!",28 January 1547,
Margaret of Valois-Angoulême,Queen of Navarre,"Farewell, and remember me.",21 December 1549,
George Martinuzzi,Archbishop of Esztergom,"Jesu, Maria!",16 December 1551,while being assassinated
François Rabelais,French writer and physician,"Bring down the curtain, the farce is played out.",1553,
Edward VI of England (6 July 1553),,Lord take my spirit.,6 July 1553,
Michael Servetus,"Spanish theologian, physician and humanist","Jesus, Son of the eternal God, have mercy on me!",27 October 1553,while being burned at the stake for heresy on a pyre of his own books
Lady Jane Grey,de facto Queen of England and Ireland,"Lord, into Thy hands I commend my spirit.",12 February 1554,quoting Jesus prior to her beheading
Thomas Wyatt the Younger,English politician and leader of Wyatt's rebellion,What I then said I unsay now; and what I now say is the truth.,11 April 1554,"exculpating Princess Elizabeth and Edward Courtenay, 1st Earl of Devon, prior to execution by beheading for treason"
John Rogers,"English clergyman, Bible translator and commentator","Lord, receive my spirit.",4 February 1555,prior to burning at the stake for heresy
Laurence Saunders,English Protestant martyr,Welcome the cross of Christ! welcome everlasting life!,8 February 1555,kissing the stake at which he was to be burned
John Hooper,"Anglican Bishop of Gloucester and Worcester, Protestant martyr","If you love my soul, away with it!",9 February 1555,refusing a pardon prior to burning at the stake for heresy
Rowland Taylor,English Protestant martyr,"Merciful Father of heaven, for Jesus Christ my Savior's sake, receive my soul into Thy hand.",9 February 1555,while being burned at the stake for heresy
William Hunter,English silk-weaver and Protestant martyr,"I am not afraid. Lord, Lord, Lord, receive my spirit!",27 March 1555,while being burned at the stake for heresy
John Bradford,English Reformer and Protestant martyr,"Be of good comfort, brother, for we shall have a merry supper with the Lord this night: if there be any way to heaven on horseback or in fiery chariots, this is it.",1 July 1555,"to John Leaf, a fellow martyr, prior to being burned at the stake"
Nicholas Ridley,Bishop of London,Let the flames come near me. I cannot burn! I cannot burn!,16 October 1555,"While burning at the stake for heresy, only his lower limbs burned away"
Hugh Latimer,former Bishop of Worcester,"Be of good comfort, Master Ridley, and play the man; we shall this day light such a candle by God's grace in England as (I trust) shall never be put out.",16 October 1555,; to Nicholas Ridley while they were burning at the stake for heresy
"(""Erravi cum Petro","sed non flevi cum Petro."") — Stephen Gardiner, English bishop and politician","Like Peter, I have erred, unlike Peter, I have not wept.",12 November 1555,
Thomas Cranmer,Archbishop of Canterbury,"Lord Jesus, receive my spirit... I see the heavens open and Jesus standing at the right hand of God.",21 March 1556,alluding to Acts 7:56 prior to execution by burning
Pietro Aretino,Italian writer and blackmailer,Now I'm oiled. Keep me from the rats.,21 October 1556,after receiving the last rites
Albert Alcibiades,Margrave of Brandenburg-Kulmbach,Lord Jesu!,8 January 1557,
Walter Milne,last Protestant martyr burned in Scotland before the Scottish Reformation,"Lord, have mercy upon me! Pray, people, while there is time.",28 April 1558,
Charles V,Holy Roman Emperor,"Now, Lord, I go! Ay, Jesus!",21 September 1558,looking at a crucifix
Mary I of England (17 November 1558). French forces had captured Calais from England earlier that year.,,"After I am dead, you will find Calais written upon my heart.",17 November 1558,French forces had captured Calais from England earlier that year
Philip Melanchthon,German Lutheran reformer,Nothing else but heaven.,19 April 1560,when asked if he wanted anything
"(""Adieu","toi si belle et si cruelle, qui me tues et que je ne puis cesser d’aimer."") — Pierre de Bocosel de Chastelard, French poet","Farewell, thou who art so beautiful and so cruel; who killest me and whom I cannot cease to love.",22 February 1563,"addressing the window of Holyrood Palace before being hanged for hiding under the bed of Mary, Queen of Scots"
"(""Ancora imparo."") — Michelangelo",Italian artist and poet,I'm still learning.,18 February 1564,
John Calvin,"French theologian and Protestant reformer, principal developer of Calvinism","Thou, Lord, bruisest me; but I am abundantly satisfied, since it is from thy hand.",27 May 1564,
"(""Vous ne me trouverez pas vivant au lever du soleil."") — Nostradamus",French seer,"Tomorrow, at sunrise, I shall no longer be here.",2 July 1566,correctly predicting his death
Roger Ascham,English scholar and didactic writer,I desire to die and be with Christ.,30 December 1568,
"(""Vittoria! Vittoria!"") — Bartolomeo Bartocci",Italian trader,Victory! Victory!,25 May 1569,while burning at the stake for heresy
Gaspard II de Coligny,Admiral of France,"I am he; respect my gray hairs, young man!",24 August 1572,"in response to one of his assassins asking, ""Art thou Coligny?"""
John Knox,founder of the Presbyterian Church of Scotland,Now it is come.,24 November 1572,
Charles IX of France (30 May 1574),,"Nurse, nurse, what murder! what blood! Oh! I have done wrong. God pardon me!",30 May 1574,
"(""Herre Gud","uti dina heliga händer antvardar jag min anda."") — Eric XIV, ex-King of Sweden","Lord God, into Thy Holy Hands I commit my spirit.",26 February 1577,"when dying in prison from arsenic poisoning, quoting Jesus"
"(""A liberdade real só há de perder-se com a vida"") — Sebastian of Portugal (4 August 1578)",,Royal freedom will only be lost with life,4 August 1578,"when being advised to surrender, and to hand over his sword to the victors of the Battle of Alcácer Quibir"
George Buchanan,Scottish historian and humanist scholar,It matters little to me; for if I am but once dead they may bury me or not bury me as they please. They may leave my corpse to rot where I die if they wish.,28 September 1582,when his servant asked who would pay for his burial after Buchanan told him to distribute his property among the poor
Teresa of Ávila,"Spanish Carmelite nun, mystic and author",Over my spirit flash and float in divine radiancy the bright and glorious visions of the world to which I go.,4 or 15 October 1582,; last words uncertain
Fernando Álvarez de Toledo,3rd Duke of Alba,Too late.,11 December 1582,on learning that the King was to visit him
Humphrey Gilbert,English adventurer and explorer,We are as neare to Heaven by sea as by land.,9 September 1583,prior to sinking of HMS Squirrel with all hands
"(""Mon Dieu","ayez pitié de mon âme; mon Dieu, ayez pitié de ce pauvre peuple."") — William the Silent, Prince of Orange","God have mercy upon me, and upon this poor nation.",10 July 1584,assassinated by Balthasar Gérard
Vittoria Accoramboni,Italian noblewoman,Jesus! I pardon you.,22 December 1585,kneeling before a crucifix
Anthony Babington,"English gentleman, conspirator in the Babington Plot",The murder of the Queen had been represented to me as a deed lawful and meritorious. I die a firm Catholic.,20 September 1586,"prior to being hanged, drawn and quartered for high treason"
Philip Sidney,English poet and soldier,Take it; thy need is greater than mine.,17 October 1586,"mortally wounded at the Battle of Zutphen, passing a cup of water to another wounded soldier"
"(""In manus","Domine, tuas commendo animam meam."") — Mary, Queen of Scots","O Lord, into Thy hands I commend my spirit.",8 February 1587,quoting Jesus prior to execution by beheading
Frederick II of Denmark (4 April 1588),,"Let the pulse beat as it may, we know the mercy of God will never fail.",4 April 1588,
George Beesley,English Roman Catholic priest and martyr,"Absit mihi gloriari nisi in Cruce Domini Nostri Jesu Christi [Far from me to glory except in the cross of Jesus Christ]. Good people, I beseech God to send all felicity.",2 July 1591,prior to execution
John of the Cross,Spanish Catholic priest and mystic,It is time for Matins.,14 December 1591,dying at the stroke of midnight
"(""Scio quod redemptor mios vivit."") — John III",King of Sweden,I know that my Redeemer liveth.,17 November 1592,
John Woolton,Bishop of Exeter,A bishop ought to die on his legs.,13 March 1594,
Torquato Tasso,Italian poet,"Lord, into Thy hands I commend my spirit.",25 April 1595,quoting Jesus
William Whitaker,"Calvinistic Anglican churchman, academic and theologian","Life or death is welcome to me; and I desire not to live, but so far as I may be serviceable to God and His church.",4 December 1595,
"(""나의 죽음을 알리지 마라."") — Yi Sun-sin",Korean naval commander,Do not announce my death.,16 December 1598,telling his nephew to hide his death by gunshot from his soldiers to avoid demoralizing them during the Battle of Noryang
Giordano Bruno,Italian Dominican friar,I die a martyr and willingly — my soul shall mount up to heaven in this chariot of smoke.,17 February 1600,prior to burning at the stake for heresy
Richard Hooker,English priest and theologian,"Good Doctor, God hath heard my daily petitions, for I am at peace with all men, and He is at peace with me; and from that blessed assurance I feel that inward joy which this world can neither give nor take from me: my conscience beareth me this witness, and this witness makes the thoughts of death joyful. I could wish to live to do the Church more service, but cannot hope it, for my days are passed as a shadow that returns not.",3 November 1600,"""May I not seem to have lived in vain."" (""Ne frustra vixisse videar."") — Tycho Brahe, Danish astronomer (24 October 1601), to his assistant Johannes Kepler"
Elizabeth I,queen regnant of England,All my possessions for a moment of time.,24 March 1603,
Akbar,third Mughal emperor,I cannot bear that any misunderstanding should subsist between you and those who have for so many years shared in my toils and been the companions of my glory.,27 October 1605,"to his nobles and his son, Jahangir; he then asked their forgiveness if he had ever wronged them"
Robert Catesby,leader of the Gunpowder Plot,"Stand by me, Tom, and we will die together.",8 November 1605,Catesby and Thomas Percy were shot by armed men led by Sir Richard Walsh
Paolo Farinati,Italian Mannerist painter,Now I am going.,1606,"on his deathbed. His wife replied, ""I will bear you company, my dear husband,"" and also died"
Joseph Justus Scaliger,French Calvinist religious leader and scholar,"I begin to perceive and feel the joys of eternal life. I shall soon behold Him, who was sacrificed for men; I long for the blessed sight. All else is to me as dross: there is nothing that could make me wish to live one hour longer.",21 January 1609,
Henry IV of France (14 May 1610),,I am wounded.,14 May 1610,while being assassinated by stabbing
François Ravaillac,"French Catholic zealot, assassin of Henry IV of France",I receive absolution upon this condition.,27 May 1610,receiving conditional absolution prior to his execution due to his insistence that he had no accomplices
Robert Cecil,"1st Earl of Salisbury, English statesman","Ease and pleasure quake to hear of death; but my life, full of cares and miseries, desireth to be dissolved.",24 May 1612,
Henry Frederick,Prince of Wales,"I would say 'somewhat,' but I cannot utter it.",6 November 1612,when asked if he was in pain
John Ogilvie  (10 March 1615),,"If there be here any hidden Catholics, let them pray for me, but the prayers of heretics I will not have.",10 March 1615,"hanged, drawn and quartered at Glasgow Cross because of having preached the Catholic religion, then illegal in Scotland, and for refusing to pledge allegiance to King James VI of Scotland"
Sanada Yukimura,Japanese samurai warrior,"I am Sanada Nobushige, no doubt an adversary quite worthy of you, but I am exhausted and can fight no longer. Go on, take my head as your trophy.",3 June 1615,to his foes prior to his death at the Battle of Tennōji
Miguel de Cervantes,Spanish novelist,Already my foot is in the stirrup.,22 April 1616,
Robert Abbot,Anglican clergyman and academic,"Come Lord Jesu, come quickly, finish in me the work that Thou has begun; into Thy hands, O Lord, I commend my spirit, for Thou has redeemed me. O God of truth, save me Thy servant, who hopes and confides in Thee alone; let Thy mercy, O Lord, be shewn unto me; in Thee have I trusted, O Lord, let me not be confounded for ever.",2 March 1617,
Pocahontas (March 1617),,"All must die, but tis enough that the child liveth",March 1617,dying of an unknown illness
Walter Raleigh,"English poet, soldier and courtier","What dost thou fear? Strike, man, strike!",29 October 1618,as he lay ready to be beheaded in the Old Palace Yard at the Palace of Westminster
"(""Illi in extremis prae timore imbellis sudor; ego imperturbatus morior."") — Lucilio Vanini","Italian philosopher, physician and freethinker","They sweat in extremes, for fear of the unwarlike; I am dying undisturbed",9 February 1619,prior to execution by strangling and burning for atheism and blasphemy
"(""Maak het kort","maak het kort."") — Johan van Oldenbarnevelt, Dutch statesman",Make it short. Make it short.,13 May 1619,to his executioner
Philip III of Spain (31 March 1621),,"Oh, would to God I had never reigned! Oh, that those years I have spent in my kingdom I had lived a solitary life in the wilderness! Oh, that I had lived alone with God! How much more secure should I now have died! With how much more confidence should I have gone to the throne of God! What doth all my glory profit, but that I have so much the more torment in my death?",31 March 1621,
Johann Arndt,German Lutheran theologian,Now I have overcome.,11 May 1621,to his wife
Robert Bellarmine,Italian Jesuit and Roman Catholic cardinal,"Jesus, Jesus, Jesus.",17 September 1621,
Rodrigo Calderón,Count of Oliva,All my life I have carried myself gracefully.,21 October 1621,when his confessor chastised him for his attention to his appearance prior to his execution by beheading
Paolo Sarpi,"Venetian historian, prelate, scientist, canon lawyer and statesman",Be thou everlasting.,15 January 1623,referring to Venice
Francis Bacon,English philosopher and statesman,"Thy creatures, O Lord, have been my books, but Thy Holy Scriptures much more. I have sought Thee in the fields and gardens, but I have found Thee, O God, in Thy Sanctuary—Thy Temple.",9 April 1626,
John Preston,"Anglican minister, master of Emmanuel College, Cambridge","Blessed be God, though I change my place, I shall not change my company; for I have walked with God while living, and now I go to rest with God.",20 July 1628,
George Villiers,1st Duke of Buckingham,Villaine!,23 August 1628,"; to his assassin, John Felton, after being stabbed by him"
François de Malherbe,"French poet, critic and translator",Hold your tongue; your wretched style only makes me out of conceit with them.,16 October 1628,listening on his deathbed to his confessor describing the glories of heaven
John Felton,"assassin of George Villiers, 1st Duke of Buckingham",I am the man.,29 November 1628,referring to the killing of Buckingham before being executed by hanging
Pierre de Bérulle,French Roman Catholic cardinal and statesman,"I do bless.—May Jesus and Mary bless, rule and govern.",2 October 1629,blessing his congregation while celebrating Mass
Agrippa d'Aubigné,"French poet, soldier, propagandist and chronicler","It comes at last, the happy day: Let thanks be given to God in heaven, while we learn pleasure in His way.",29 April 1630,
John Donne,"English poet, scholar and soldier, Dean of St Paul's","I were miserable, if I might not die.",31 March 1631,
Robert Bruce of Kinnaird,Moderator of the General Assembly of the Church of Scotland,"Now, God be with you, my dear children; I have breakfasted with you, and shall sup with my Lord Jesus Christ this night.",27 July 1631,
Gustavus Adolphus of Sweden (16 November 1632),,"I have enough, brother; try to save your own life.",16 November 1632,mortally wounded at the Battle of Lützen (1632)
George Herbert,"Welsh-born poet, orator, and priest of the Church of England","I am now ready to die. Lord, forsake me not, now my strength faileth me; but grant me mercy for the merits of my Jesus. And now Lord—Lord, now receive my soul.",1 March 1633,
Edward Coke,"English barrister, judge and politician","Thy kingdom come, thy will be done.",3 September 1634,
Lope de Vega,Spanish playwright,"All right then, I'll say it. Dante makes me sick.",27 August 1635,
William Bedell,Anglican Lord Bishop of Kilmore,"I have kept the faith once given to the saints; for the which cause I have also suffered these things; but I am not ashamed, for I know whom I have believed, and I am persuaded that He is able to keep that which I have committed to Him against that day.",7 February 1642,dying from exposure after being imprisoned and tortured by rebels
Cardinal Richelieu,French clergyman and statesman,"Absolutely, and I pray God to condemn me, if I have had any other aim than the welfare of God and the state.",4 December 1642,when asked whether he pardoned his enemies
John Hampden,English landowner and politician,"O Lord, save my country! O Lord, be merciful to—",24 June 1643,mortally wounded at the Battle of Chalgrove Field six days before his death
"(""朕自登基十七年，虽朕薄德匪躬，上干天怒，然皆诸臣误朕，致逆贼直逼京师。朕死，无面目见祖宗于地下，自去冠冕，以发覆面。任贼分裂朕尸，勿伤百姓一人。"") — Chongzhen Emperor",the last emperor of Ming dynasty,"It has been seventeen years since I ascended the throne. I, feeble and of small virtue, have offended against Heaven; the rebels have seized my capital because my ministers deceived me. Ashamed to face my ancestors, I die. Removing my imperial cap and with my hair disheveled about my face, I leave to the rebels the dismemberment of my body. Let them not harm my people!",24 April 1644,
William Laud,Archbishop of Canterbury,"Lord, receive my soul.",10 January 1645,spoken as the signal to the executioner at his beheading for treason
Hugo Grotius,"Dutch humanist, diplomat, lawyer, theologian and writer",Be serious.,28 August 1645,
Masaniello,Italian fisherman and revolutionary leader,Ungrateful traitors!,16 July 1647,to his assassins
George Lisle,Royalist leader in the English Civil War,"Ay! but I have been nearer to you, my friends, many a time, and you have missed me.",28 August 1648,when the officer in charge of his firing squad said they would hit him
Charles I of England (30 January 1649),,Stay for the sign.,30 January 1649,asking for his executioner to await his signal before beheading him
James Graham,1st Marquess of Montrose,"The covenant which I took, I own it and adhere to it. Bishops, I do not care for them. I never intended to advance their interests.",21 May 1650,"prior to execution by hanging, beheading and quartering"
Eusebius Andrews,English royalist,"Lord Jesus, receive me!",22 August 1650,prior to execution by beheading for treason
John Taylor,English poet,How sweet it is to rest!,December 1653,
Pierre Gassendi,"French philosopher, Catholic priest, astronomer and mathematician",You see what is man's life.,24 October 1655,
James Ussher,Church of Ireland Archbishop of Armagh and Primate of All Ireland,"O Lord, forgive me specially my sins of omission.",21 March 1656,
Oliver Cromwell,"English general and statesman, Lord Protector","It is not my design to drink or to sleep, but my design is to make what haste I can to be gone.",3 September 1658,
Paul Scarron,"French poet, dramatist and novelist","Ah! mes enfans, you cannot cry as much for me as I have made you laugh in my time! I never thought that it was so easy a matter to laugh at the approach of death.",6 October 1660,
Cardinal Mazarin,"Italian cardinal, diplomat and politician","O, my poor soul, what is to become of thee? Whither wilt thou go?",9 March 1661,
Samuel Rutherford,Scottish pastor,I bless the Lord that he gave me counsel.,29 March 1661,
Archibald Campbell,"1st Marquess of Argyll, Scottish nobleman","I die not only a Protestant, but with a heart-hatred of popery, prelacy, and all superstition. Lord Jesus, receive me into Thy glory.",27 May 1661,before execution by beheading
James Guthrie,Scottish Presbyterian minister,"I take God to record upon my soul that I would not exchange this scaffold with the palace or mitre of the greatest prelate in Britain. The covenants, the covenants shall yet be Scotland's reviving.",1 June 1661,prior to execution by hanging for high treason
Marie Angélique Arnauld,Abbess of the Abbey of Port-Royal,"Jesus, oh Jesus, you are my God, my justice, my strength, my all.",6 August 1661,
Henry Vane the Younger,"English politician, statesman and colonial governor",It is a bad cause which cannot bear the words of a dying man.,14 June 1662,prior to execution by beheading for treason
Blaise Pascal,"French mathematician, physicist and theologian","My God, forsake me not.",19 August 1662,
Robert Sanderson,English theologian and casuist,"My heart is fixed, O God! my heart is fixed where true joy is to be found.",29 January 1663,
Archibald Johnston,Scottish judge and statesman,"Abba, Father, accept this, Thy poor sinful servant, coming unto Thee through the merits of Jesus Christ. O pray, pray! praise, praise!",22 July 1663,before execution by hanging
Anne of Austria,former Queen of France,"Monsieur de Montaigu, consider what I owe to God, the favor He has shown me, and the great indulgence for which I am beholden to Him. Observe how they are swelled; time to depart.",20 January 1666,looking at her formerly beautiful hands
Hugh Mackail,Scottish martyr,"And now I begin my intercourse with God, which shall never be broken off. Farewell, father and mother, friends and relations; farewell, the world and all delights; farewell, sun, moon and stars! Welcome, God and Father; welcome, sweet Jesus Christ, the mediator of the new covenant; welcome, blessed Spirit of grace, the God of all consolation; welcome, glory; welcome, eternal life; and welcome, death.",22 December 1666,prior to execution by hanging
Jeremy Taylor,Anglican divine,My trust is in God.,13 August 1667,
Alonso Cano,"Spanish painter, architect and sculptor","Vex me not with this thing, but give me a simple cross, that I may adore it, both as it is in itself and as I can figure it in my mind.",3 September 1667,asking a priest to take away a badly carved crucifix
William Davenant,English poet and playwright,"I shall have to ask leave to desist, when I am interrupted by so great an experiment as dying.",7 April 1668,setting aside the manuscript of a new poem
Richard Mather,Puritan minister,"Far from well, yet far better than mine iniquities deserve.",22 April 1669,when asked about his health
John Cosin,English churchman,Lord!,15 January 1672,raising his hand
François de La Mothe Le Vayer,French writer,"Well, my friend, what news from the Great Mogul?",9 May 1672,"to physician and traveler François Bernier, who had come to say goodbye to him"
Salvator Rosa,Italian artist and poet,"Bad, bad! To judge by what I now endure, the hand of death grasps me sharply.",15 March 1673,when asked how he was
John Milton,English poet and intellectual,Death is the great key that opens the palace of Eternity.,8 November 1674,
"(""Je ne veux point être tué aujourd'hui."") — Henri de La Tour d'Auvergne",Viscount of Turenne,I did not mean to be killed today.,27 July 1675,struck by a cannonball at the Battle of Salzbach
Alexis of Russia,Russian Tsar,"I would never have married had I known that my time would be so brief. If I had known that, I would not have taken upon myself double tears.",8 February [O.S. 29 January] 1676,
Isaac Barrow,English Christian theologian and mathematician,I have seen the glories of the world.,4 May 1677,
Mary Rich,Countess of Warwick,"Well, ladies, if I were one hour in heaven, I would not be again with you, as much as I love you.",12 April 1678,
Giovan Battista Nani,"Venetian ambassador, librarian and historian",How beautiful!,5 November 1678,
James Sharp,Archbishop of St Andrews,I shall be happy.,3 May 1679,
Thomas Hobbes,English philosopher,"Now I am about to take my last voyage, a great leap in the dark.",4 December 1679,
John Wilmot,"2nd Earl of Rochester, English poet and courtier",The only objection against the Bible is a bad life.,26 July 1680,
Thomas Blood,Anglo-Irish officer and desperado,I do not fear death.,24 August 1680,
William Howard,1st Viscount Stafford,I do forgive you.,29 December 1680,to his executioner prior to beheading for alleged treason
William Russell,Lord Russell,Now the bitterness of death is past.,21 July 1683,after bidding farewell to his wife prior to execution by beheading for treason
John Owen,English Nonconformist church leader and theologian,"Stop. Change that to say, 'I am yet in the land of the dying, but I hope soon to be in the land of the living.'",24 August 1683,"when his secretary had written ""I am still in the land of the living"" in a letter in his name"
Algernon Sidney,English politician,I know that my Redeemer liveth. I die for the good old cause.,7 December 1683,prior to execution by beheading for treason
Wentworth Dillon,"4th Earl of Roscommon, Anglo-Irish landlord, Irish peer, and poet","My God, my Father, and my Friend, / Do not forsake me in the end.",18 January 1685,"quoting from his own translation of the ""Dies irae"""
Charles II of England (6 February 1685),,"I have been a most unconscionable time dying, but I beg you to excuse it.",6 February 1685,
James Scott,"1st Duke of Monmouth, illegitimate son of Charles II of England","There are six guineas for you, and do not hack me as you did my Lord Russell. I have heard that you struck him three or four times. My servant will give you more gold if you do your work well.",15 July 1685,"to Jack Ketch, his executioner. Ketch was nervous and took several blows to behead Scott"
James Renwick,Scottish minister,"Lord, into Thy hands I commend my spirit; for Thou hast redeemed me, Lord God of truth.",17 February 1688,before execution by hanging
John Bunyan,English writer and preacher,"Take me, for I come to Thee.",31 August 1688,
John Eliot,"Puritan missionary to the American Indians, founder of Roxbury Latin School","O, come in glory! I have long waited for Thy coming. Let no dark cloud rest on the work of the Indians. Let it live when I am dead. Welcome joy!",21 May 1690,
Margaret Mary Alacoque,"French Roman Catholic nun, promoter of devotion to the Sacred Heart of Jesus","I need nothing but God, and to lose myself in the heart of Jesus.",17 October 1690,
