name,title,quote,date,context
Zhang Zongchang,"Chinese warlord, after being shot by an assassin",No good!,3 September 1932,
Calvin Coolidge,president of the United States,"Good morning, Robert.",5 January 1933,to a carpenter working on his house
Alva Belmont,American socialite and women's suffrage activist,"The important thing is knowing how to live. Learn a lesson from my mistakes. I had too much power before I knew how to use it and it defeated me in the end. It drove all sweetness out of my life except the affection of my children. My trouble was I was born too late for the last generation and too early for this one. If you want to be happy, live in your own time.",26 January 1933,
Anton Cermak,Mayor of Chicago,Take that tent thing off me and give me something to drink. Quit shooting that stuff into my arm and leave me alone. I'm going to get well.,6 March 1933,in hospital after being wounded in assassination attempt on Franklin D. Roosevelt; last reported words
Wilson Mizner,American playwright and entrepreneur,Why should I talk to you? I've just been talking to your boss.,3 April 1933,to a priest at his deathbed
Bill Lancaster,Australian aviator,So the beginning of the eighth day has dawned. It is still cool. I have no water....I am waiting patiently. Come soon please. Fever wracked me last night. Hope you get my full log. Bill.,20 April 1933,final note written on fuel card while dying after crash in Sahara Desert
Jack Holland,American college football player and boxer,I butted him.,9 May 1933,while leaving ring after loss to Tony Marullo; he then collapsed from a cerebral hemorrhage
Richard B. Mellon,"American banker, industrialist and philanthropist",Last tag.,1 December 1933,to his brother Andrew Mellon; the two had been engaged in a playful game of tag for some seventy years
Albert I of Belgium (17 February 1934),,Follow the path for another fifty yards. I am going back to the foot of the rocks to make another climb. If I feel in good form I shall take the difficult way up; if I do not I shall take the easy one. I shall join you in an hour.,17 February 1934,shortly before falling to his death while rock climbing
"(""Ella","Ella! Kõik on täiesti teisiti!"") — Ernst Enno, Estonian writer","Ella, Ella! Everything is utterly different!",7 March 1934,to his wife
"(""Je ne le veux pas."") — Marie Skłodowska Curie",Polish scientist,I don't want it.,4 July 1934,upon being offered a painkilling injection
Winsor McCay,American cartoonist and animator,"It's gone, mother! Gone, gone, gone!",26 July 1934,to his wife after he found that his right arm was paralyzed
Alexander I of Yugoslavia (9 October 1934),,Save Yugoslavia. Take good care of the queen.,9 October 1934,"assassinated in Marseille, France, by Bulgarian nationalist Vlado Chernozemski"
Louis Barthou,French Minister of Foreign Affairs,I suffer terribly. I am thirsty.,9 October 1934,killed by police gunfire during the response to Alexander's assassination
Clyde Smith,Australian rules footballer and police constable,What happened? It got me in the thigh.,5 January 1935,accidentally shot by police colleague
Ma Barker,American mother of criminals,All right! Go ahead!,16 January 1935,"to her son, Fred Barker, prior to their deaths in a shootout with the FBI"
Jane Addams,"American settlement and temperance activist, social worker and author","Always, always. Water for me.",21 May 1935,when her physician asked if she wanted some water
Will Rogers,"American stage and film actor, vaudeville performer, cowboy, humorist, newspaper columnist, and social commentator",Death.,15 August 1935,typed on his typewriter for an unfinished newspaper column prior to the plane crash that killed him and Wiley Post
Charlotte Perkins Gilman,American humanist and writer,"When all usefulness is over, when one is assured of an unavoidable and imminent death, it is the simplest of human rights to choose a quick and easy death in place of a slow and horrible one.",17 August 1935,in her suicide note
Henri Barbusse,French novelist and Communist,"Telephone and say that they must still enlarge it–Always larger, broader, more universal–It's the only means of saving the world.",30 August 1935,referring to the Second Italo-Ethiopian War
Huey Long,United States Senator,I wonder why he shot me.,10 September 1935,after being fatally shot
Dutch Schultz,American mobster,"The Baron says these things. I know what I am doing here with my collection of papers. It isn't worth a nickel to two guys like you or me but to a collector it is worth a fortune. It is priceless. I am going to turn it over to... Turn your back to me, please Henry. I am so sick now. The police are getting many complaints. Look out. I want that G-note. Look out for Jimmy Valentine for he is an old pal of mine. Come on, come on, Jim. Ok, ok, I am all through. Can't do another thing. Look out mamma, look out for her. You can't beat him. Police, mamma, Helen, mother, please take me out. I will settle the indictment. Come on, open the soap duckets. The chimney sweeps. Talk to the sword. Shut up, you got a big mouth! Please help me up, Henry. Max, come over here. French-Canadian bean soup. I want to pay. Let them leave me alone.",24 October 1935,speaking in stream-of-consciousness babble after being shot
"(""Dá-me os óculos."") – Fernando Pessoa",Portuguese poet,Give me the glasses.,30 November 1935,to the nurse who treated him
Alban Berg,Austrian composer,But I have so little time.,24 December 1935,"to his wife, who had asked him to relax"
Albert Fish,"American serial killer, child rapist and cannibal","What a thrill it will be to die in the electric chair... the supreme thrill, the only one I haven't tried.",16 January 1936,prior to execution by electrocution
George V,king of the United Kingdom,God damn you!,20 January 1936,"to a nurse giving him a sedative. The King was euthanized on the orders of his doctor, Bertrand Dawson, 1st Viscount Dawson of Penn"
Richard A. Loeb,American murderer,I think I'm going to make it.,28 January 1936,after being slashed 56 times with a razor in a prison fight
A. E. Housman,English classical scholar and poet,Indeed – very good. I shall – have to repeat – that – on the Golden Floor.,30 April 1936,"to his doctor, who had just told a risqué joke"
Robert E. Howard,American author and creator of Conan the Barbarian,"All fled, all done, so lift me on the pyre. The feast is over, and the lamps expire.",11 June 1936,"; his suicide note, a quotation from ""The House of Cæsar"" by Viola Garvin"
G. K. Chesterton,"English writer, philosopher, lay theologian and critic","The issue is now clear. It is between light and darkness, and everyone must choose his side.",14 June 1936,
"(""Ich kann nicht mehr."") — Toni Kurz",German mountain climber,I cannot go on.,22 July 1936,dying on the Eiger north face
Pedro Muñoz Seca,Spanish comic playwright,I am starting to believe you are not intending to count me among your friends!,28 November 1936,to his firing squad during the Paracuellos massacres
Luigi Pirandello,Italian playwright,"The hearse, the horse, the driver and—enough!",10 December 1936,
André Bessette,"C.S.C., Canadian Roman Catholic lay brother","My God, how it hurts! Oh I suffer!",6 January 1937,
Alfred Adler,Austrian psychotherapist,Kurt.,28 May 1937,mumbling his son's name after collapsing on the street
J. M. Barrie,Scottish novelist and playwright,I can't sleep.,19 June 1937,
Amelia Earhart,American aviation pioneer,We are running on line north and south.,c. 2 July 1937,reporting to her headquarters in her last known radio transmission shortly before her disappearance
Bessie Smith,American blues singer,"I'm going, but I'm going in the name of the Lord.",26 September 1937,
Violette Neatley Anderson,first African-American woman to practice law before the United States Supreme Court,Tell the girls to keep on going ahead. Put over the boule with a bang. Don't let my passing throw the slightest shadow of gloom. The organization has a grand mission before it.,24 December 1937,; speaking to Claude Albert Barnett while dying of cancer prior to Zeta Phi Beta's annual boule
Maurice Ravel,French composer,I look like a Moor.,28 December 1937,referring to the bandages on his head after brain surgery
O. O. McIntyre,American newspaper columnist,"Snooks, will you please turn this way? I like to look at your face.",14 February 1938,to his wife
Gabriele D'Annunzio,Italian author and soldier,Stop—I turn home... I'm bored... I'm bored.,1 March 1938,to his chauffeur
Egon Friedell,Austrian polymath,"Watch out, please.",16 March 1938,before jumping out a window to avoid capture by Gestapo
Alfonso,"Prince of Asturias, former heir apparent to the throne of Spain","¡Mi madre! ¡Mi madre! Where is my mother? I'm all alone in this country. Don't leave me, Jack.",6 September 1938,"dying of internal bleeding after car accident in Miami, Florida"
"(""Aleykümesselam."") — Mustafa Kemal Atatürk",President of Turkey,Peace be upon you.,10 November 1938,
"(""Ich bin krank – ich habe Fieber..."") — Paul Morgan",Austrian actor and cabaret performer,I am sick – I have a fever...,10 December 1938,said prior to collapsing and dying of exhaustion in Buchenwald concentration camp
Valery Chkalov,Soviet test pilot,Do not blame anyone. It's my fault.,15 December 1938,fatally injured in crash of Polikarpov I-180 fighter prototype
Arthur Barker,American criminal,I'm all shot to hell!,13 January 1939,shot while attempting to escape from Alcatraz Federal Penitentiary
W. B. Yeats,Irish poet and dramatist,"You can refute Hegel, but not the Saint or the Song of Sixpence.",28 January 1939,
Nicholas Comper,English aviator and aircraft designer,I didn't know prisons had such comfortable beds.,17 June 1939,"dying in hospital after being knocked down while lighting a firework in Hythe, Kent, by a passer-by to whom he claimed he was an IRA man planning to blow up the town hall"
Richard Seaman,British racing driver,I was going too fast for the conditions – it was entirely my own fault – I am sorry.,25 June 1939,on his deathbed after being fatally burned in a racing crash
Sigmund Freud,"Austrian neurologist, founder of psychoanalysis",The meager satisfaction that man can extract from reality leaves him starving.,23 September 1939,
Douglas Fairbanks,American actor and filmmaker,Never felt better.,12 December 1939,"to an attendant who asked how he was""I am only asking for one thing—let me finish my work."" — Isaac Babel, Russian author (27 January 1940), prior to execution by firing squad on fabricated charges of terrorism and espionage"
Leon Trotsky,Soviet revolutionary,I feel this time they have succeeded. I do not want them to undress me. I want you to undress me.,21 August 1940,"to his wife, Natalia Sedova, while being prepared for surgery after being mortally wounded by assassin Ramón Mercader"
"(""Per Catalunya!"") — Lluís Companys",President of the Government of Catalonia,For Catalonia!,15 October 1940,prior to execution by firing squad
John Dundas,Second World War British fighter ace,I've finished a 109—Whoopee!,28 November 1940,prior to being shot down and killed
F. Scott Fitzgerald,American novelist,Hershey bars will be good enough – they'll be fine.,21 December 1940,to Sheilah Graham
James Joyce,"Irish novelist, author of Ulysses and Finnegans Wake",Does nobody understand?,13 January 1941,
Richhpal Ram ,Indian recipient of the Victoria Cross,We'll capture the objective.,12 February 1941,"mortally wounded at Keren, Eritrea"
Alfonso XIII,former King of Spain,"Spain, My God!",28 February 1941,kissing a crucifix
Virginia Woolf,English writer,I don't think two people could have been happier than we have been.,28 March 1941,"addressing her husband Leonard in her suicide note, drowning herself later that day"
"(""Es geht mit mir zu Ende","ich versinke, ich versinke!"") — Wilhelm II, the last German Emperor","It's coming to an end for me, I'm sinking, I'm sinking!",4 June 1941,dying of a pulmonary embolism at Huis Doorn
Cecil Pugh,"GC, MA, Congregational Church minister",My love of God is greater than my fear of death.,5 July 1941,"asking to be lowered into the hold of the sinking SS Anselm, where injured airmen were trapped. Pugh then prayed with the men until the ship sank"
Maximilian Kolbe,"Polish Catholic priest, promoter of veneration of the Immaculate Virgin Mary","Love the immaculate, love the immaculate, love the immaculate.",14 August 1941,injected with carbolic acid after two weeks of starvation in Auschwitz concentration camp. He had offered himself for starvation in the place of an inmate with a family
Karl Gravell,", Royal Canadian Air Force Leading Aircraftman",Did I get Jimmy out?,10 November 1941,after unsuccessful attempt to rescue Flying Officer James Robinson from wreckage of crashed Tiger Moth
"(""Прощайте товарищи! Боритесь","не бойтесь! Сталин с нами! Сталин придёт!"") — Zoya Kosmodemyanskaya, Soviet partisan","Farewell, comrades! Fight, do not be afraid! Stalin is with us! Stalin will come!",29 November 1941,prior to her execution by Germans in Petrishchevo for arson in there
Herbert C. Jones,United States Navy officer and Medal of Honor recipient,Leave me alone! I am done for. Get out of here before the magazines go off.,7 December 1941,mortally wounded aboard USS California (BB-44) during the attack on Pearl Harbor
Robert R. Scott,United States Navy sailor and Medal of Honor recipient,"As long as I can give these people air, I'm sticking.",7 December 1941,refusing to evacuate flooded air compressor compartment aboard USS California (BB-44) during the attack on Pearl Harbor
Simon Dubnow,"Jewish-born Russian historian, writer and activist","If you survive, never forget what is happening here, give evidence, write and rewrite, keep alive each word and each gesture, each cry and each tear!",8 December 1941,prior to his murder in the Riga ghetto at the time of the Rumbula massacre
John K. Lawson,Canadian Army officer,Going outside to fight it out.,19 December 1941,over the radio to his commanders prior to leaving his headquarters building during the Battle of Hong Kong
"(""Verzeihen Sie","dass wir Ihnen über den Tod hinaus noch Mühe verursachen; ich bin überzeugt, dass Sie tun, was Sie tun können (und was vielleicht nicht sehr viel ist). Verzeihen Sie uns auch unsere Desertion! Wir wünschen Ihnen und allen unseren Freunden, noch bessere Zeiten zu erleben. Ihr treu ergebener Felix Hausdorff"") — Felix Hausdorff, German mathematician","I am sorry that we cause you yet more effort beyond death, and I am convinced that you are doing what you can do (which perhaps is not very much). Forgive us our desertion! We wish you and all our friends to experience better times. Your truly devoted Felix Hausdorff",26 January 1942,"; the conclusion of his suicide letter to his lawyer. Hausdorff, his wife and his sister-in-law committed suicide rather than be deported to the Endenich camp"
Walter Brown,", Australian World War I recipient of the Victoria Cross",No surrender for me.,15 February 1942,before walking toward Japanese lines carrying grenades during the Battle of Singapore
Olena Teliha,Ukrainian poet and activist,Here Olena Teliha was sitting until she was shot.,21 February 1942,; inscription written on the wall of her prison cell prior to her execution by the Gestapo
Stefan Zweig,Austrian writer,I think it better to conclude in good time and in erect bearing a life in which intellectual labour meant the purest joy and personal freedom the highest good on Earth.,22 February 1942,"in his last testament before committing suicide with his wife, Lotte Altmann"
Lucy Maud Montgomery ,Canadian author,I have lost my mind by spells and I do not dare think what I may do in those spells. May God forgive me and I hope everyone else will forgive me even if they cannot understand. My position is too awful to endure and nobody realizes it. What an end to a life in which I tried always to do my best.,24 April 1942,; conclusion of note found on her bedside table after her death. It may or may not have been a suicide note
José Abad Santos,"fifth Chief Justice of the Philippines, Acting President of the Commonwealth of the Philippines","Take good care of your mother, your brother, and sisters. Tell them to live up to our name. God bless you, my son.",2 May 1942,bidding farewell to his son Pepito prior to execution by occupying Japanese forces. Abad Santos subsequently refused to be blindfolded for his execution and he declined the final cigarette which was offered to him
"(""Smrt fašizmu","sloboda narodu!"") — Stjepan Filipović, Yugoslav communist",Death to fascism! Freedom to the people!,22 May 1942,seconds before execution by hanging
John Barrymore,American actor,"You heard me, Mike.",29 May 1942,"to his brother, Lionel Barrymore, who had failed to understand something he said (Singing ""La Marseillaise"") — Félix Cadras, French lace designer and communist militant (French Communist Party) (30 May 1942), during execution by firing squad"
Maury Henry Biddle Paul,American journalist and society columnist,"Oh Mother, how beautiful it is!",17 July 1942,
Moses Annenberg,American newspaper publisher,"Walter, who knows what is the scheme of things? My suffering has all been for the purpose of making you a man.",20 July 1942,"to his son, Walter Annenberg. Moses Annenberg had been released from prison a month earlier after being convicted of tax evasion"
Adam Czerniaków,"Polish engineer and senator, head of the Warsaw Ghetto Jewish Council (Judenrat)",They demand from me to kill the children of my nation with my own hands. There is nothing left for me but to die.,23 July 1942,"writing to his wife prior to his suicide. The SS had ordered the Judenrat and the Jewish Ghetto Police to begin supplying 6000 people per day, including children, for deportation"
Edward H. Ahrens,United States Marine Raider,The bastards tried to come over me last night – I guess they didn't know I was a Marine.,8 August 1942,found mortally wounded during the Guadalcanal campaign surrounded by 13 dead Japanese soldiers
Edith Stein,German Jewish philosopher and Discalced Carmelite nun,"Come, we are going for our people!",9 August 1942,"to her sister Rosa prior to their deportation to the Auschwitz concentration camp, where they were killed in a mass gas chamber"
Douglas Albert Munro,United States Coast Guardsman and Medal of Honor recipient,Did they get off?,27 September 1942,to his friend Raymond Evans after using his Higgins boat to direct fire away from evacuating American troops
"(""Vande Mataram."") — Matangini Hazra",Indian revolutionary,"I bow to thee, Mother.",29 September 1942,repeatedly chanting words from protest song while being shot by British Indian police at the age of 72
George M. Cohan,American entertainer,Look after Agnes.,5 November 1942,referring to his wife
Alexander Woollcott,American critic and radio personality,I have no need of your Goddamned sympathy – I want to be entertained by some of your grosser reminiscences.,23 January 1943,
Sophie Scholl,"member of White Rose anti-Nazi resistance movement, sister of Hans Scholl","How can we expect righteousness to prevail when there is hardly anyone willing to give himself up individually to a righteous cause... It is such a splendid sunny day, and I have to go. But how many have to die on the battlefield in these days, how many young, promising lives. What does my death matter if by our acts thousands are warned and alerted. Among the student body there will certainly be a revolt.",22 February 1943,before she was taken for beheading by guillotine
"(""Es lebe die Freiheit!"") — Hans Scholl",co-founder of White Rose resistance movement,Long live freedom!,22 February 1943,a moment before he was beheaded by guillotine
Alexander Schmorell,Russian-German student and member of the White Rose resistance movement,Yes.,13 July 1943,on being asked if his name was Alexander Schmorell prior to his execution via guillotine
Radclyffe Hall,English poet and author,What a life!,7 October 1943,
William D. Hawkins,United States Marine Corps officer and Medal of Honor recipient,"Boys, I sure hate to leave you like this.",21 November 1943,mortally wounded at the Battle of Tarawa
Kay Kopl Vesole,United States Navy officer,I've a 3-month-old baby at home. I certainly would like to see my baby.,December 1943,mortally wounded while rescuing survivors from the sinking of SS John Bascom
"(""Post reorganise karo","mein covering fire doonga."") — Abdul Hafiz , Indian recipient of the Victoria Cross","Reorganise the post, I will give covering fire.",6 April 1944,mortally wounded at the Battle of Imphal
George Stinney,African-American child and youngest American with an exact age executed by the United States,No.,16 June 1944,on whether he had any final words before his wrongful execution via electric chair. 14-year-old Stinney was tried and sentenced to death by Judge Philip H. Stoll in under three hours on 14 April after an all-white jury declared him guilty for double murder after only ten minutes of deliberation
William J. O'Brien,United States Army officer and Medal of Honor recipient,Don't give them a damned inch!,7 July 1944,during Banzai charge on his battalion at the Battle of Saipan
Ben L. Salomon,United States Army dental officer and Medal of Honor recipient,I'm going to hold these guys off as long as I can. I'll see you later.,7 July 1944,preparing to cover evacuation of wounded from aid station with M1917 Browning machine gun during the Battle of Saipan
Ludwig Beck,German general,"If it doesn't work this time, then please help me.",20 July 1944,trying unsuccessfully to shoot himself after the failure of the 20 July plot. A soldier then shot and killed him
"(""Es lebe das heilige Deutschland!"") — Claus von Stauffenberg",German army officer,Long live our sacred Germany!,21 July 1944,before being executed by the Nazis for his involvement in the failed 20 July plot
"(""Ben ölürsem","kimseyi suçlamayın; zira açlıktan ölüyorum. Bir sinemada piyano çalarak hayatımı kazanıyordum. Şimdi bu işi de bulamıyorum. Beni bir Müslüman olarak defnedersiniz."") — Şehzade Ahmed Nuri, Ottoman prince","If I die, do not blame anyone because I am starving. I was making a living by playing piano in a movie theater. Now I can not find this job either. You bury me as a Muslim.",7 August 1944,note found in his pocket after he starved to death in a French public park
Joseph P. Kennedy Jr.,United States Navy lieutenant,Spade Flush.,12 August 1944,radioing code phrase prior to explosion of plane on Operation Aphrodite mission
Alexandru Șerbănescu,Second World War Romanian fighter ace,I'm going down...,18 August 1944,crashing after being shot down
"(""Setzen Sie ein Ende","o Gott, für alle unsere Leiden."") — Elisabeth von Thadden, German progressive educator and resistance fighter","Put an end, Lord, to all our sufferings.",8 September 1944,before her execution by the Nazi regime
Winston Ide,Australian rugby union player,"I'm staying here. In any case, I can swim to Australia if I have to.",12 September 1944,responding to requests to save himself during the sinking of the SS Rakuyo Maru
Noor Inayat Khan,", British spy in the Special Operations Executive",Liberté!,13 September 1944,prior to execution by firing squad at Dachau concentration camp
Walter Nowotny,Second World War German fighter ace,I'm on fire.,8 November 1944,crashing due to engine failure after combat with United States Army Air Force planes
Lupe Vélez,"Mexican actress, dancer and singer","To Harald, may God forgive you and forgive me too but I prefer to take my life away and our baby's before I bring him with shame or killing him, Lupe.",14 December 1944,"in her suicide note, addressed to actor Harald Ramond. Vélez was pregnant with Ramond's child at the time"
Norman F. Baesall,U.S. Army Air Force lieutenant colonel,"What's the matter Miller, do you want to live forever?",15 December 1944,in response to Glenn Miller asking where the parachutes were prior to flight from RAF Twinwood Farm to Paris. The plane disappeared while flying over the English Channel
John Basilone,United States Marine Corps Gunnery Sergeant and Medal of Honor recipient,C'mon you guys! Let's get these guns off the beach.,19 February 1945,prior to being killed at the Battle of Iwo Jima
Lena Baker,African American maid,"What I done, I did in self-defense, or I would have been killed myself. Where I was I could not overcome it. God has forgiven me. I have nothing against anyone. I picked cotton for Mr. Pritchett, and he has been good to me. I am ready to go. I am one in the number. I am ready to meet my God. I have a very strong conscience.",5 March 1945,prior to execution by electrocution for the murder of her employer. She received a full and unconditional pardon in 2005
Jack Lummus,"professional football player, United States Marine Corps officer and Medal of Honor recipient","Doc, the New York Giants lost a mighty good end today.",8 March 1945,after losing his legs to a land mine at the Battle of Iwo Jima
Friedrich Fromm,German general,"I die, because it was ordered. I had always wanted only the best for Germany.",12 March 1945,prior to being executed as part of the post-conspiracy purge after the failure of the 20 July plot
Franklin D. Roosevelt,president of the United States,I have a terrific headache.,12 April 1945,before dying of intracerebral hemorrhage
"(""Ik schiet beter!"") — Hannie Schaft",Dutch Resistance Fighter,I shoot better!,17 April 1945,mocking her two executioners after the first shot grazed off her
Ernie Pyle,American war correspondent,Are you all right?,18 April 1945,to Lt. Col. Joseph B. Coolidge before being fatally shot on Iejima during the Battle of Okinawa
"(""Sparami nel petto!"") — Benito Mussolini",Italian fascist statesman,Shoot me in the chest!,28 April 1945,facing a partisan leader
"(""Vor allem verpflichte ich die Führung der Nation und die Gefolgschaft zur peinlichen Einhaltung der Rassegesetze und zum unbarmherzigen Widerstand gegen den Weltvergifter aller Völker","das internationale Judentum."") — Adolf Hitler, German Nazi statesman","Above all, I charge the leadership of the nation and their followers with the strict observance of the racial laws and with merciless resistance against the universal poisoners of all peoples, international Jewry.",30 April 1945,closing his last will before committing joint suicide with his wife Eva
Heinrich Himmler,German Nazi officer,I am Heinrich Himmler.,23 May 1945,last words said during his suicide shortly after biting into a hidden potassium cyanide pill before collapsing dead onto the floor of the headquarters of the Second British Army in Lüneburg
Anton Webern,Austrian composer and conductor,I'm shot...it's over.,15 September 1945,shot by U.S. Army soldier during the Allied occupation of Austria
Béla Bartók,Hungarian composer,I am only sad that I have to leave with a full trunk.,26 September 1945,He died with multiple works left unfinished
Vidkun Quisling,Norwegian politician,I'm convicted unfairly and I die innocent.,24 October 1945,prior to execution by firing squad for murder and high treason
Robert Benchley,American humorist,No. (And supposing you were?),21 November 1945,"; words which he jotted beside the title of an essay which he was reading, ""Am I Thinking?"""
Charles Carroll Taylor,United States Naval Reserve lieutenant,"All planes close up tight ... will have to ditch unless landfall ... when the first plane drops to ten gallons, we all go down together.",5 December 1945,last transmission before Flight 19 disappeared over Bermuda Triangle
"(""Schnell."") — Irma Grese",SS concentration camp guard,Quick.,13 December 1945,prior to her execution by hanging
Maurice Baring,English man of letters,Whatever you would like me to have.,14 December 1945,when asked what he wanted for lunch
John Amery,British fascist,Oh Pierrepoint.,19 December 1945,"; to his executioner, Albert Pierrepoint, prior to hanging for high treason"
George S. Patton,United States Army general,This is a hell of a way to die.,21 December 1945,paralyzed from neck down after automobile collision
Theodore Dreiser,American novelist,"Shakespeare, I come.",28 December 1945,
Gertrude Stein,American writer,"What is the answer? In that case, what is the question?",27 July 1946,addressing her life partner Alice B. Toklas
H. G. Wells,English author and futurist,Go away. I'm all right.,13 August 1946,
Neville Heath,English murderer,You might make that a double.,16 October 1946,when he was offered a drink prior to his execution by hanging
Joachim von Ribbentrop,"German politician, Minister of Foreign Affairs of Nazi Germany",God protect Germany. May I say something else? My last wish is that Germany realize its entity and that an understanding be reached between the East and the West. I wish peace to the world.,16 October 1946,prior to his execution by hanging for war crimes and crimes against humanity (Nuremberg executions)
Wilhelm Keitel,German field marshal,Deutschland über alles!,16 October 1946,during his execution by hanging for war crimes and crimes against humanity (Nuremberg executions)
Ernst Kaltenbrunner,"Austrian SS official, major perpetrator of The Holocaust","I have loved my German people and my fatherland with a warm heart. I have done my duty by the laws of my people and I am sorry my people were led this time by men who were not soldiers and that crimes were committed of which I had no knowledge. Germany, good luck.",16 October 1946,prior to his execution by hanging for war crimes and crimes against humanity (Nuremberg executions)
Alfred Rosenberg,Baltic German Nazi theorist and ideologue,No.,16 October 1946,when asked if he had anything to say prior to his execution by hanging for war crimes and crimes against humanity (Nuremberg executions)
Hans Frank,German politician and lawyer,I am thankful for the kind of treatment during my captivity and I ask God to accept me with mercy.,16 October 1946,prior to his execution by hanging for war crimes and crimes against humanity (Nuremberg executions)
Wilhelm Frick,German politician of the Nazi Party,Long live eternal Germany.,16 October 1946,prior to his execution by hanging for war crimes and crimes against humanity (Nuremberg executions)
"(""Heil Hitler! Dies ist mein Purimfest 1946. Ich gehe zu Gott. Die Bolschewisten werden eines Tages Euch auch hängen!"") — Julius Streicher",,"Heil Hitler, this is my Purim Fest in 1946! I am going to God. The Bolsheviks will hang you one day!","""Heil Hitler! Dies ist mein Purimfest 1946. Ich gehe zu Gott. Die Bolschewisten werden eines Tages Euch auch hängen!""","— Julius Streicher, Nazi politician, founder and publisher of Der Stürmer (16 October 1946), prior to his execution by hanging for crimes against humanity (Nuremberg executions)"
Fritz Sauckel,German Nazi politician,I am dying innocent. The sentence is wrong. God protect Germany and make Germany great again. Long live Germany! God protect my family.,16 October 1946,prior to his execution by hanging for war crimes and crimes against humanity (Nuremberg executions)
Alfred Jodl,German Generaloberst,"My greetings to you, my Germany.",16 October 1946,prior to his execution by hanging for war crimes and crimes against humanity (Nuremberg executions)
Arthur Seyss-Inquart,"Austrian Nazi politician, Reichskommissar of the occupied Netherlands",I hope that this execution is the last act of the tragedy of the Second World War and that the lesson taken from this world war will be that peace and understanding should exist between peoples. I believe in Germany.,16 October 1946,prior to his execution by hanging for war crimes and crimes against humanity (Nuremberg executions)
Damon Runyon,American newspaperman and short-story writer,You can keep the things of bronze and stone and give me one man to remember me just once a year.,10 December 1946,
W. C. Fields,American entertainer,"God damn the whole fuckin' world and everyone in it but you, Carlotta.",25 December 1946,"addressing his mistress, Carlotta Monti"
George Atcheson Jr.,American diplomat,"Well, it can't be helped.",17 August 1947,aboard plane going down in Pacific Ocean near Hawaii
"(""¡Cara de poto!"") — Vicente Huidobro",Chilean poet,You ass-face!,2 January 1948,"; after regaining consciousness, he confessed to his loved ones that he was afraid and made his friend Henriette Petit cry when he stared at her and shouted this expression"
Thomas F. Mantell,Kentucky Air National Guard captain,"The object is directly ahead of and above me now, moving at about half my speed... It appears to be a metallic object or possibly reflection of Sun from a metallic object, and it is of tremendous size... I'm still climbing... I'm trying to close in for a better look.",7 January 1948,during fatal pursuit of UFO
"(""हे राम!"") — Mahatma Gandhi",Indian revolutionary and pacifist,Oh God!,30 January 1948,shortly after being shot by Hindu nationalist Nathuram Godse
Nathanael Edgar,British police officer,The man was by the door. I got his identity card and name. I do not know if it is right. He shot me in the legs with three shots. The pocket book is in my inside pocket.,13 February 1948,describing the circumstances of his being mortally wounded in the line of duty
"(""السيد الأمين العام لجامعة الدول العربية، القاهرة: اني احملكم المسؤولية بعد ان تركتم جنودي في اوج انتصاراتهم بدون عون او سلاح. عبدالقادر الحسيني"") — Abd al-Qadir al-Husayni",Palestinian leader and fighter,"To the General Secretary of the Arab League in Cairo: I lay full blame on your shoulders for leaving my soldiers, in the zenith of victory, without aid or weaponry. Abd al-Qadir al-Husayni.",8 April 1948,in a note to Abdul Rahman Hassan Azzam written shortly before his death during the Battle of Qastal
Babe Ruth,American baseball player,I'm going over the valley.,16 August 1948,
Folke Bernadotte,Swedish nobleman and diplomat,I'll need it.,17 September 1948,on being wished good luck by a journalist prior to his assassination
James Forrestal,United States Secretary of Defense,"Frenzy hath seized thy dearest son, / Who from thy shores in glory came / The first in valor and in fame; / Thy deeds that he hath done / Seem hostile all to hostile eyes.... / Better to die, and sleep / The never waking sleep, than linger on, / And dare to live, when the soul's life is gone.",22 May 1949,"; his suicide note, a quotation from the play Ajax by Sophocles"
Richard Strauss,German composer and conductor,I would give anything just to have written this.,8 September 1949,holding a copy of Mozart's Clarinet Concerto
Lead Belly,"American folk and blues singer, musician and songwriter","Doctor, if I put this here guitar down now, I ain't never gonna wake up.",6 December 1949,"""Mama!"" (""Mamasha!"") — Vaslav Nijinsky, Polish ballet dancer and choreographer (8 April 1950)"
"(""Padám","padám, tento boj jsem prohrála, odcházím čestně. Miluji tuto zem, miluji tento lid, budujte mu blahobyt. Odcházím bez nenávisti k vám. Přeji vám to, přeji vám to…"") — Milada Horáková, Czech politician","I have lost this fight but I leave with honour. I love this country, I love this nation, strive for their wellbeing. I depart without rancour towards you. I wish you, I wish you...",27 June 1950,prior to execution by hanging on fabricated charges of conspiracy and treason
Louis J. Sebille,United States Air Force fighter pilot and Medal of Honor recipient,"No, I'll never make it. I'm going back and get that bastard.",5 August 1950,when urged by one of his wingmen to head for an emergency landing strip after being wounded during the Battle of Pusan Perimeter in the Korean War. Sebille then deliberately crashed into a North Korean convoy
Kenneth Muir ,British Army officer,The Gooks will never drive the Argylls off this hill.,23 September 1950,mortally wounded by automatic weapon fire during Battle of Hill 282 in the Korean War
Al Jolson,American singer and actor,This is it! I'm going. I'm going.,23 October 1950,
George Bernard Shaw,Irish playwright and critic,"Sister, you're trying to keep me alive as an old curiosity, but I'm done, I'm finished, I'm going to die.",2 November 1950,to his nurse
